mm_main_double_280,mm_main_double_400,mm_main_double_750,mm_main_double_900,mm_main_double_1200,mm_main_double_1500,mm_main_double_1900,mm_main_double_2100,mm_main_double_2330,mm_main_double_2500,mm_main_double_2750,mm_main_double_3000
0.11155,0.322699,2.149359,3.810516,9.305635,21.236713,44.167346,59.786375,98.693303,101.440302,163.058187,160.069923
0.114113,0.321257,2.121514,3.772733,9.302933,21.18933,44.154333,60.127248,98.965587,101.92138,162.909284,159.620718
0.111089,0.320291,2.141536,3.779837,9.311847,21.187071,44.227608,60.027897,98.574271,101.674097,162.897136,160.621988
0.11129,0.320841,2.125949,3.789432,9.321218,21.229312,44.159809,59.958325,98.596013,101.701037,162.916433,159.857272
0.110032,0.322405,2.135101,3.80951,9.305553,21.278043,44.087783,59.997751,98.952517,101.728354,162.784626,160.375613
0.110002,0.321957,2.133236,3.800667,9.308831,21.298071,44.313888,59.9579,98.597406,101.781649,162.918717,159.842103
0.10956,0.321625,2.129489,3.781852,9.292446,21.205864,44.138864,59.962916,98.77904,101.570461,162.845158,160.541641
0.109919,0.322524,2.125948,3.820925,9.283786,21.268176,44.186853,60.103089,98.8249,101.49152,163.168668,161.045149
0.112061,0.321547,2.136663,3.833825,9.295482,21.250945,44.270800,59.801304,98.789482,101.575962,162.927785,159.867882
0.111583,0.32181,2.140094,3.798039,9.31192,21.269008,44.156645,59.806472,98.555601,101.839088,162.908722,160.23605
0.111344,0.321516,2.13202,3.821791,9.29613,21.165787,44.401680,59.838963,98.811478,101.862675,163.270146,159.81405
0.109862,0.321476,2.124381,3.793109,9.302816,21.237311,44.295600,59.82292,99.010374,101.393815,162.915325,159.845831
0.111677,0.321784,2.12804,3.826937,9.332075,21.240931,44.253774,59.884106,98.400155,101.93881,162.885435,160.222348
0.111086,0.321356,2.130005,3.827966,9.313032,21.294108,44.239940,60.113607,98.46277,101.632364,163.107594,160.769167
0.111903,0.321988,2.120868,3.766491,9.340327,21.221452,44.152407,59.830587,99.152401,101.663018,163.499193,159.719163
0.111883,0.321608,2.132242,3.829073,9.30297,21.25287,44.189888,60.026624,98.82787,101.968478,162.90037,160.080187
0.110546,0.321074,2.128054,3.79101,9.337999,21.238096,44.285103,60.010473,98.741481,101.339053,163.268976,159.857642
0.111618,0.321612,2.145158,3.766819,9.329568,21.240194,44.233822,59.809075,98.57173,101.714751,162.910421,163.470991
0.111159,0.321605,2.127895,3.801975,9.317608,21.312105,44.260000,60.073459,98.433403,101.767534,162.89475,161.874218
0.110849,0.321874,2.126116,3.807053,9.328575,21.188967,44.206568,59.899527,98.559635,101.644344,163.756122,159.980469
0.110537,0.321559,2.141276,3.790785,9.323778,21.201583,44.137027,59.837507,98.965967,101.380025,163.786174,160.290092
0.110856,0.320483,2.12517,3.791909,9.330364,21.216085,44.188952,59.813213,98.584255,101.427798,162.943818,159.805583
0.110372,0.321571,2.130779,3.793332,9.335176,21.29345,44.134613,60.047275,98.625264,101.680573,163.59804,159.823236
0.110201,0.322663,2.141598,3.792987,9.31134,21.218211,44.346234,59.815591,99.047582,101.653442,163.028443,159.947749
0.110088,0.322129,2.13054,3.791336,9.309814,21.266597,44.161687,59.835144,98.33792,101.433869,163.005448,159.695536
0.112087,0.321014,2.122204,3.804579,9.306719,21.274769,44.263069,59.97724,98.898229,101.581592,162.96259,160.103765
0.111099,0.321375,2.146053,3.788503,9.334095,21.264239,44.356635,60.05769,98.364696,101.382401,162.919874,160.156953
0.111778,0.321344,2.138018,3.808509,9.297527,21.265905,44.274469,59.883962,98.636696,101.715832,162.933433,160.265539
0.110919,0.321697,2.130252,3.801372,9.296671,21.195287,44.262588,59.951554,98.721372,101.616257,162.897002,160.07636
0.111602,0.321487,2.147269,3.790269,9.324571,21.2699,44.351288,59.729099,99.260752,101.602175,162.944636,160.605011
