mm_main_double_rnd_280,mm_main_double_rnd_400,mm_main_double_rnd_750,mm_main_double_rnd_900,mm_main_double_rnd_1200,mm_main_double_rnd_1500,mm_main_double_rnd_1900,mm_main_double_rnd_2100,mm_main_double_rnd_2330,mm_main_double_rnd_2500,mm_main_double_rnd_2750,mm_main_double_rnd_3000
0.11303,0.322679,2.141115,3.810745,9.322559,21.165071,44.001042,59.762132,98.706775,101.682822,162.973159,160.157585
0.111313,0.321929,2.123109,3.787084,9.326767,21.18523,44.120236,59.750595,99.053918,101.682251,162.727449,159.599726
0.110503,0.321477,2.122569,3.793789,9.31345,21.222139,44.169514,59.964754,98.981749,101.731311,162.946549,159.593026
0.111788,0.320195,2.124526,3.810159,9.317016,21.211993,44.078764,59.755554,98.427826,101.254259,162.855299,159.462041
0.111094,0.322495,2.121962,3.812679,9.317617,21.178952,44.032824,59.726897,98.313488,101.378001,162.873854,159.566789
0.11111,0.32086,2.131609,3.797216,9.331687,21.220689,44.040842,59.912663,98.941314,101.250431,162.6786,159.949435
0.111488,0.322091,2.148737,3.795486,9.289412,21.282412,44.070821,59.761287,98.445001,101.812168,163.105581,160.782228
0.110549,0.321855,2.12392,3.821944,9.300149,21.197527,44.246203,59.854222,98.710485,101.669942,162.806586,166.024883
0.110984,0.320987,2.14064,3.83803,9.317826,21.281607,44.239404,59.843997,99.025086,101.277257,162.876326,163.555199
0.110912,0.321618,2.119751,3.815874,9.317886,21.295694,44.170859,59.686801,98.903349,101.851259,162.675668,170.485602
0.110437,0.321348,2.130528,3.795654,9.302489,21.263578,44.250772,59.84326,98.896125,101.181097,162.664211,167.046891
0.111015,0.32077,2.133225,3.78683,9.310412,21.186897,44.047372,59.783723,98.820427,101.582441,163.114432,166.074219
0.111033,0.320788,2.126222,3.784259,9.328787,21.164027,44.029612,59.995062,98.551354,101.598821,162.763647,168.902942
0.110731,0.321505,2.122564,3.818499,9.325426,21.316693,44.068805,59.745133,98.793756,101.696783,163.559433,167.167157
0.110962,0.322434,2.122201,3.785593,9.305833,21.281115,44.101832,59.889596,98.86089,101.580227,163.883668,164.714464
0.111191,0.321147,2.124545,3.810111,9.29168,21.212384,44.064214,59.641154,98.330561,101.303452,163.243237,160.801964
0.110072,0.321867,2.124733,3.816727,9.300907,21.277649,44.032883,60.137014,98.435091,101.260954,162.975933,160.164364
0.110439,0.322407,2.12907,3.799638,9.295583,21.230585,44.055517,59.691533,99.059215,101.727901,163.444556,159.775132
0.110125,0.321023,2.12832,3.792316,9.284268,21.21291,44.069719,59.775685,98.418955,101.582514,170.262531,159.795843
0.109967,0.322244,2.130819,3.774807,9.308201,21.170988,44.26847,60.008513,98.368863,101.462003,164.960581,159.986285
0.109886,0.322663,2.12442,3.803655,9.286302,21.186285,44.075732,59.856427,98.419757,101.456916,162.607026,160.018866
0.10977,0.321389,2.123891,3.768627,9.332164,21.264262,44.049544,59.994994,98.328968,101.27094,162.839422,160.230389
0.109992,0.3213,2.123144,3.806401,9.317354,21.26275,44.218898,59.907427,99.031108,101.316693,162.858317,159.924294
0.11218,0.322037,2.145729,3.777005,9.30581,21.280249,44.091421,59.732566,98.446553,101.310365,163.287167,159.93957
0.110949,0.322276,2.135482,3.816447,9.292276,21.24205,44.221694,59.693461,98.181313,101.369664,163.468049,160.219807
0.111305,0.321458,2.123381,3.805748,9.328614,21.222522,44.06336,60.008168,99.089808,101.407857,162.865417,159.987361
0.110649,0.321689,2.138641,3.771262,9.283902,21.144401,44.027276,59.883763,98.191653,101.20312,162.78719,160.047659
0.11113,0.321968,2.130142,3.813574,9.316013,21.177954,44.084151,59.70519,98.433972,101.375863,163.575758,159.691868
0.111283,0.321919,2.138418,3.775132,9.307663,21.199504,44.070753,59.737356,98.877016,101.403439,162.892483,162.888047
0.110903,0.321247,2.136013,3.776016,9.285742,21.171692,44.070598,60.021902,98.375964,101.263396,163.28283,160.617367
