mm_main_int_280,mm_main_int_400,mm_main_int_750,mm_main_int_900,mm_main_int_1200,mm_main_int_1500,mm_main_int_1900,mm_main_int_2100,mm_main_int_2330,mm_main_int_2500,mm_main_int_2750,mm_main_int_3000
0.061526,0.160622,1.629859,2.955763,5.594011,17.458237,41.524449,56.689421,78.667167,96.446821,119.948087,128.528951
0.058632,0.169344,1.630715,3.055065,5.468311,17.169766,43.049153,56.952372,79.85647,95.326225,120.297026,128.949672
0.058166,0.159999,1.498467,2.923697,5.727936,17.453538,41.820638,56.547828,78.799888,96.32489,120.225785,128.161745
0.059326,0.158539,1.533503,2.919485,5.718703,17.097086,41.312328,58.035991,76.916246,95.064225,120.409208,128.473575
0.051402,0.157428,1.506673,2.975144,5.59411,16.922923,40.917357,58.005074,75.716836,95.60055,122.452061,128.170514
0.057703,0.152534,1.575454,2.832298,5.669922,16.829799,40.960348,57.465448,77.448531,92.265607,121.478755,128.189559
0.051537,0.151054,1.475972,2.888748,5.584625,17.528131,41.46967,56.794195,75.934214,90.838701,116.354352,128.980563
0.052167,0.156872,1.569043,2.868959,5.721117,16.545866,40.738106,57.40706,75.706484,92.987832,117.522763,128.150705
0.05436,0.1779,2.014719,3.305183,5.734372,16.859751,41.090138,57.715797,74.976768,92.453286,117.969364,128.583114
0.05382,0.168477,1.922895,3.130102,6.101929,17.205267,41.074304,56.633182,72.051059,91.985286,118.897924,128.27572
0.053673,0.150985,1.943039,2.845347,6.063979,16.899024,40.954168,56.223359,75.806414,88.099337,116.840552,128.748081
0.052988,0.15377,1.800154,2.975818,6.069513,17.289148,42.208117,56.563916,77.905741,89.542619,116.79994,128.074482
0.052096,0.160761,1.85807,2.947605,5.443355,16.639561,41.894109,56.869725,80.280847,89.48554,116.273256,128.083982
0.052953,0.161942,1.874501,2.843738,5.759649,16.098532,41.211266,57.84279,74.573126,87.65354,116.554464,128.643395
0.055099,0.163449,1.569576,2.881343,6.243509,16.786297,41.304312,57.110079,76.151274,87.773957,116.090487,128.391089
0.055475,0.15833,1.493989,2.925821,5.962947,14.997869,41.975317,53.821674,78.833549,88.146273,116.116559,128.847034
0.050755,0.167117,1.556643,3.020492,5.729171,15.560803,41.818033,54.045311,78.751555,89.246446,116.439735,127.652736
0.051903,0.160584,1.472396,3.074691,5.578198,15.58578,40.731825,52.443276,77.036871,88.942586,116.151273,128.211544
0.05385,0.153125,1.501052,3.359832,5.486194,15.969212,41.108344,56.901366,73.4081,87.914064,116.490291,128.83742
0.05326,0.193167,1.504852,3.281386,5.672421,15.794864,41.139924,56.806031,78.701093,87.940372,116.146875,128.233978
0.061595,0.179732,1.663039,3.043608,4.826347,15.585547,40.814798,56.540577,79.279416,88.41069,115.905154,128.058998
0.057622,0.175948,1.487906,3.133275,4.919474,16.231687,41.057918,56.87729,79.176373,89.716231,116.296824,128.101609
0.0534,0.164008,1.540015,3.123705,4.923997,17.214581,40.785204,57.279431,77.928311,88.163482,116.853279,129.058543
0.053272,0.153792,1.556093,2.917191,4.79801,17.270853,40.774727,57.142516,75.343642,88.927804,116.911349,128.366265
0.053465,0.155454,1.555254,2.744501,4.84411,17.093852,41.036883,53.141024,78.845764,89.510011,116.389506,129.0171
0.052994,0.156199,1.487024,2.748347,4.794525,17.292519,40.23269,52.470929,79.33399,89.560116,120.008057,128.552883
0.052064,0.156098,1.659144,2.646327,4.802393,17.12965,40.779401,52.671688,78.446419,88.347563,116.098345,128.725095
0.055035,0.1514,1.902975,2.81732,4.973068,17.287688,40.689728,53.777335,76.561255,89.814433,116.548763,128.045871
0.05352,0.173711,1.920285,3.22541,5.76508,17.001452,42.596986,57.889549,78.091982,87.120572,116.245663,128.853898
0.0541,0.164869,1.83298,2.976809,5.837445,17.201882,41.614205,56.642153,78.541787,87.004086,116.343646,128.351303
