mm_main_int_rnd_280,mm_main_int_rnd_400,mm_main_int_rnd_750,mm_main_int_rnd_900,mm_main_int_rnd_1200,mm_main_int_rnd_1500,mm_main_int_rnd_1900,mm_main_int_rnd_2100,mm_main_int_rnd_2330,mm_main_int_rnd_2500,mm_main_int_rnd_2750,mm_main_int_rnd_3000
0.04835,0.144746,1.014206,1.789796,4.639444,11.242151,35.778282,48.954703,68.467867,84.771385,114.118261,128.021934
0.051982,0.14041,1.017862,1.757704,4.372885,11.325366,36.056402,49.273286,68.111568,84.80743,113.618178,128.594048
0.050232,0.148626,1.015878,1.752031,4.267602,11.762549,35.840087,49.40946,68.004835,84.564935,113.233438,127.962178
0.050037,0.144405,1.022959,1.774092,4.208859,11.793503,36.032082,49.073479,68.177806,84.453691,113.505289,129.096273
0.04897,0.14183,1.014915,1.755302,4.253504,11.424433,36.11068,49.296829,68.180954,84.454643,113.358655,128.354129
0.04804,0.144463,1.022376,1.758755,4.208148,11.817327,35.885642,49.312556,68.243343,84.311946,113.326725,127.771234
0.048263,0.144804,1.012735,1.759506,4.255509,11.707026,35.709495,49.587924,67.934348,84.931355,114.419407,127.372993
0.050068,0.143199,1.016843,1.774281,4.212474,11.792305,35.937489,49.266525,68.566213,85.084146,113.71295,128.37056
0.049773,0.143427,1.017384,1.75781,4.165964,11.679504,36.270971,49.285217,68.124087,84.544606,113.442175,128.457391
0.049333,0.143408,1.014641,1.761215,4.281141,11.987788,36.127993,49.357616,68.087533,84.414563,113.532759,128.621073
0.048439,0.14246,1.015078,1.762859,4.24003,11.315829,35.891473,49.270292,68.015022,84.804294,113.761373,128.300621
0.048178,0.144224,1.020864,1.758619,4.18239,11.738726,35.941473,49.446849,68.185663,84.485083,113.367515,128.419586
0.048723,0.143653,1.017365,1.767032,4.271942,12.239582,35.898412,49.084961,68.039899,84.339824,113.803395,129.047745
0.049071,0.142966,1.020307,1.773402,4.238471,11.550899,35.737766,49.172811,68.165418,84.981556,113.343342,128.749697
0.050017,0.141437,1.021826,1.767011,4.190243,11.548855,36.10547,49.242121,68.093466,84.4085,113.394959,128.946931
0.049555,0.141186,1.014887,1.761376,4.270912,12.081858,36.018837,49.106527,68.105528,84.721741,113.626945,128.726457
0.048046,0.141063,1.020981,1.775668,4.337708,11.852438,36.055344,49.105272,68.441304,84.34675,113.676827,128.406373
0.04799,0.140804,1.028361,1.76083,4.211889,11.854045,35.778547,49.319929,68.17416,84.631141,113.333932,128.918484
0.048113,0.140813,1.026459,1.762074,4.320313,11.421421,36.210641,49.166529,68.170578,84.827714,113.428218,128.457505
0.049623,0.140485,1.028607,1.77898,4.228088,12.033982,36.131449,49.25121,68.172682,84.632915,113.186274,128.80322
0.050063,0.144868,1.021697,1.759891,4.247153,11.249591,36.107288,49.022656,67.889736,84.452179,113.245564,128.27776
0.049788,0.144741,1.015477,1.771806,4.235877,11.69798,35.925626,49.339423,68.19833,84.767336,113.245123,128.800589
0.049104,0.14334,1.014677,1.753345,4.208167,11.984755,35.853754,48.982498,68.247485,84.394121,113.1995,128.848794
0.049724,0.143688,1.026539,1.751796,4.326141,11.499362,36.166108,49.287043,68.216627,84.549218,113.847704,128.788522
0.048793,0.143968,1.023223,1.772112,4.132558,11.684807,35.852447,49.248184,67.954649,84.762217,113.762395,129.123761
0.04896,0.141803,1.014207,1.758376,4.225798,11.346924,35.868492,49.305856,68.037748,84.49799,114.021214,128.465946
0.050408,0.142134,1.012081,1.783033,4.16446,11.773908,35.829898,49.47767,67.979299,84.525546,113.478727,128.964707
0.048696,0.143103,1.023909,1.757218,4.189083,11.709863,36.170792,49.261704,68.449647,84.63063,113.261828,129.15153
0.04956,0.14256,1.026477,1.77372,4.24491,11.280452,35.872201,49.627706,68.140713,85.007273,114.271552,127.771578
0.047998,0.140533,1.026031,1.774051,4.26846,11.3539,36.018596,49.150913,68.333981,84.974922,113.341828,128.147823
